iter	Quantile:alpha=0.9
166	0.08137791803
167	0.08135242622
168	0.08130740215
169	0.0812872639
170	0.08127202155
171	0.08123373885
172	0.08118451824
173	0.08116354475
174	0.08112306098
175	0.08111187584
176	0.08106777829
177	0.08104410455
178	0.08101241639
179	0.0809714735
180	0.08092610117
181	0.08091107481
182	0.08089652745
183	0.08085679988
184	0.08081877585
185	0.08080021008
186	0.08075964561
187	0.08074538734
188	0.08071672134
189	0.08070437731
190	0.08068521053
191	0.08065412196
192	0.0806370658
193	0.08061422914
194	0.08060064877
195	0.0805827437
196	0.0805453883
197	0.08053564421
198	0.0805215712
199	0.08050752678
200	0.08048186366
201	0.08046885854
202	0.08045675963
203	0.08045032087
204	0.08042144399
205	0.08038975474
206	0.08038049691
207	0.08035095837
208	0.08033531341
209	0.08031090157
210	0.08027119148
211	0.08025536255
212	0.08023277683
213	0.08021017653
214	0.08020331234
215	0.08018947826
216	0.08017758105
217	0.08016621464
218	0.08015743963
219	0.0801361064
220	0.08011021491
221	0.08010526898
222	0.08009723921
223	0.08009189037
224	0.08008560244
225	0.08007938548
226	0.08007626162
227	0.08006705046
228	0.08005841441
229	0.08004333659
230	0.08003483906
231	0.0800116072
232	0.08000588734
233	0.07999152723
234	0.07998574243
235	0.07996541458
236	0.07994416019
237	0.07994026773
238	0.07991170698
239	0.07990647153
240	0.07990099605
241	0.07987789215
242	0.07986522424
243	0.07984012064
244	0.07981802189
245	0.07981233997
246	0.0797956476
247	0.07977562545
248	0.07976046401
249	0.07975336314
250	0.07973464695
251	0.07970701813
252	0.07969028056
253	0.0796821024
254	0.0796639566
255	0.07965191592
256	0.07961453438
257	0.07960921395
258	0.07959988496
259	0.07958265984
260	0.07956562185
261	0.07954547231
262	0.07952802997
263	0.07951496829
264	0.07950717799
265	0.07949973155
266	0.07949300781
267	0.0794802231
268	0.07946087676
269	0.07944065045
270	0.0794223988
271	0.07941218049
272	0.07940337015
273	0.07938439559
274	0.07933545163
275	0.07932516643
276	0.07930723019
277	0.07929496682
278	0.07926719835
279	0.07926077291
280	0.07924497258
281	0.07922684232
282	0.0792106152
283	0.07920780509
284	0.07919976454
285	0.07918953958
286	0.07918006215
287	0.07917037423
288	0.07916474388
289	0.07915816547
290	0.07915136477
291	0.07913684991
292	0.07913190673
293	0.07912520026
294	0.07911788105
295	0.07911314578
296	0.0791073153
297	0.07909941371
298	0.07909364437
299	0.07908691521
300	0.07908306506
301	0.07907723785
302	0.07906891301
303	0.07902932279
304	0.07902385588
305	0.07901419049
306	0.07897992107
307	0.07896718918
308	0.07896350445
309	0.07896109101
310	0.07894857058
311	0.07894232907
312	0.07893650092
313	0.07893244913
314	0.07891557781
315	0.078910392
316	0.0789053607
317	0.07890157325
318	0.07889418551
319	0.07888942313
320	0.07886168867
321	0.07885767753
322	0.07885010719
323	0.07884566446
324	0.07884143871
325	0.07883752535
326	0.07883009781
327	0.07882548841
328	0.07882154153
329	0.07881496008
330	0.07880804333
331	0.07880411174
332	0.07879760945
333	0.07879384272
334	0.07879064252
335	0.07878470894
336	0.07878057831
337	0.07877765404
338	0.07877491551
339	0.07876933289
340	0.07876442322
341	0.07875877156
342	0.07875334228
343	0.07874081184
344	0.07873478745
345	0.07872949839
346	0.07872009584
347	0.07871656248
348	0.07871165045
349	0.0787054942
350	0.07868866142
351	0.07868519321
352	0.07868193032
353	0.0786753227
354	0.07867221781
355	0.0786574644
356	0.0786500541
357	0.0786434262
358	0.07863876339
359	0.07862082283
360	0.0786177265
361	0.0786130486
362	0.07860794827
363	0.07860060782
364	0.07859576679
365	0.07858455758
366	0.07856840728
367	0.07856504316
368	0.07856184977
369	0.0785491649
370	0.07853880967
371	0.0785348069
372	0.07853243377
373	0.07852760473
374	0.07852539508
375	0.07852082563
376	0.07851803833
377	0.07851667582
378	0.07851447606
379	0.07850917043
380	0.07850605655
381	0.07850407712
382	0.0784998022
383	0.07849573097
384	0.07848579628
385	0.0784816411
386	0.07847857879
387	0.07847386082
388	0.07847129236
389	0.07846163389
390	0.07845808085
391	0.07845501239
392	0.07845045871
393	0.07844145915
394	0.07841038233
395	0.07840735252
396	0.07838741463
397	0.07837670483
398	0.07837518741
399	0.07837118668
400	0.07836209227
401	0.07835151809
402	0.0783407671
403	0.07833773181
404	0.07833248243
405	0.07832349374
406	0.07832031349
407	0.07831723304
408	0.07830815482
409	0.07828249445
410	0.07827683254
411	0.07827450645
412	0.07827114747
413	0.07826603131
414	0.07825544935
415	0.07823678581
416	0.07822099752
417	0.07820635827
418	0.07820248595
419	0.07818880835
420	0.07817615257
421	0.07816901901
422	0.07815918095
423	0.07814458523
424	0.07814198033
425	0.07813734411
426	0.07813118231
427	0.07812923636
428	0.07812514045
429	0.07811633066
430	0.07810706766
431	0.07810547887
432	0.07809678342
433	0.07809518146
434	0.07809170423
435	0.07808734913
436	0.07807150041
437	0.07806608221
438	0.07806225644
439	0.07805951903
440	0.0780569488
441	0.07805588522
442	0.07805021619
443	0.07804588826
444	0.07804161581
445	0.07803854088
446	0.07803166889
447	0.0780268341
448	0.07802445643
449	0.07801987706
450	0.07801490426
451	0.07801038427
452	0.0780051321
453	0.07799977064
454	0.07799652648
455	0.07799233811
456	0.07798928188
457	0.07798431765
458	0.07797460118
459	0.07796821248
460	0.07796610195
461	0.07796192632
462	0.07795620812
463	0.07795149216
464	0.0779497426
465	0.07794661678
466	0.07794586118
467	0.07793629481
468	0.07793371679
469	0.07793013189
470	0.07792717885
471	0.07792425231
472	0.07792126452
473	0.07791771602
474	0.07791664129
475	0.07791052155
476	0.0779084426
477	0.07790683231
478	0.07790470558
479	0.07789813333
480	0.07789572788
481	0.077892689
482	0.07789127983
483	0.07788920916
484	0.07788197035
485	0.07788067907
486	0.07787852386
487	0.0778770198
488	0.07787558483
489	0.07787350909
490	0.07787156085
491	0.0778623579
492	0.07785754032
493	0.07785407397
494	0.07784896716
495	0.07784654887
496	0.07783908688
497	0.07783686818
498	0.07783409506
499	0.07783113491
500	0.07782950914
501	0.07782515195
502	0.07782113269
503	0.07781761573
504	0.07781347931
505	0.07780994954
506	0.07780445617
507	0.0778022395
508	0.07779831698
509	0.07779695548
510	0.07779390052
511	0.07779123673
512	0.0777899555
